cosine, chebyshev, variable, 541.0, 0.8165430716874854
cosine, manhattan, variable, 1.0, 0.9758322555187351
cosine, manhattan, variable, 21.0, 0.964646896187708
cosine, manhattan, variable, 41.0, 0.9533434855673477
cosine, manhattan, variable, 61.0, 0.946444836119454
cosine, manhattan, variable, 81.0, 0.9418532666412812
cosine, manhattan, variable, 101.0, 0.9268316272496201
cosine, manhattan, variable, 121.0, 0.917777126929792
cosine, manhattan, variable, 141.0, 0.9151438606531827
cosine, manhattan, variable, 161.0, 0.9079136363523341
cosine, manhattan, variable, 181.0, 0.9014454690239936
cosine, manhattan, variable, 201.0, 0.8974788653187148
cosine, manhattan, variable, 221.0, 0.8957634636543712
cosine, manhattan, variable, 241.0, 0.8945160986581976
cosine, manhattan, variable, 261.0, 0.8932348562543351
cosine, manhattan, variable, 281.0, 0.8918860969426189
cosine, manhattan, variable, 301.0, 0.8920504128220607
cosine, manhattan, variable, 321.0, 0.8917930461161965
cosine, manhattan, variable, 341.0, 0.8908210838511906
cosine, manhattan, variable, 361.0, 0.8895756289393664
cosine, manhattan, variable, 381.0, 0.8886860400076796
cosine, manhattan, variable, 401.0, 0.888710664888764
cosine, manhattan, variable, 421.0, 0.8881138246231189
cosine, manhattan, variable, 441.0, 0.8874572908875631
cosine, manhattan, variable, 461.0, 0.8872923035615569
cosine, manhattan, variable, 481.0, 0.8868549987357479
cosine, manhattan, variable, 501.0, 0.8860390080795455
cosine, manhattan, variable, 521.0, 0.885706844921473
cosine, manhattan, variable, 541.0, 0.8848739236016998
quartic, euclidean, variable, 1.0, 0.9756328792947024
quartic, euclidean, variable, 21.0, 0.9661007369644155
quartic, euclidean, variable, 41.0, 0.9582276963537126
quartic, euclidean, variable, 61.0, 0.9488864069305443
quartic, euclidean, variable, 81.0, 0.9441884762616641
quartic, euclidean, variable, 101.0, 0.937530993698908
quartic, euclidean, variable, 121.0, 0.9243605662686647
quartic, euclidean, variable, 141.0, 0.9205184975225936
quartic, euclidean, variable, 161.0, 0.9173494695533412
quartic, euclidean, variable, 181.0, 0.9129292724740374
